Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
fmri_scan_date,fmri_checklist,fMRI Checklist,text,Date of Scan,, MM-DD-YYYY,date_ymd,,,,,y,,,,,
fmri_taskorder,fmri_checklist,,radio,What task order is this participant doing?,"0, A   (mid first) | 1, B   (mid first) | 2, C   (ugdg first) | 3, D   (ugdg first)",Look at Updated Til,,,,,,y,,,,,
fmri_counterbalance,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Order of tasks attached<br /><br /><span style=""font-weight: normal;"">If starting 4-12 minute late, skip Neuromelanin</span><br /><span style=""font-weight: normal;"">If starting 13-21 minutes late, skip Neuromelanin & 1 run of last task</span></p></div>",,,,,,,,,,,,,
fmri_scheduled,fmri_checklist,,text,Time Scan Scheduled,,Military Time eg. 1pm -> 13:00,time,,,,,y,,,,,
fmri_buttonbox_pic,fmri_checklist,,descriptive,Ready to enter MRI Suite,,,,,,,,,,,,,
fmri_resetbox,fmri_checklist,,radio,"<div class=""rich-text-field-label""><p>Did you reset the button box?</p> <p><span style=""font-weight: normal;"">back righthand side</span></p></div>","0, No | 1, Yes",Box that shows participant answers (1-5),,,,,,y,,,,,
fmri_registration,fmri_checklist,Patient Registration,descriptive,,,,,,,,,,,,,,
fmri_patientid,fmri_checklist,,radio,Lastname & Patient ID: <em>Smith-ISTART- [screening_process_arm_1][participant_id] </em>,"0, No | 1, Yes",same as calendar event,,,,,,y,,,,,
fmri_dob,fmri_checklist,,text,DOB,,,date_ymd,,,y,,y,,,,,
fmri_age,fmri_checklist,,calc,Participant Age on Day of Scan,"datediff([appointment_2_arm_1][fmri_dob],[appointment_2_arm_1][fmri_scan_date],""y"")",,,,,,,,,,,,
fmri_sex,fmri_checklist,,radio,Sex,"0, Other | 1, Female | 2, Male",,,,,y,,y,,,,,
fmri_height_ft,fmri_checklist,,text,Height (ft),,,number,3,6,,,y,,,,,
fmri_height_in,fmri_checklist,,text,Height (in),,,number,0,11.9,,,y,,,,,
fmri_weight,fmri_checklist,,text,Weight,,,number,50,400,,,y,,,,,
fmri_addinfo,fmri_checklist,,radio,Did you use the correct Additional info:  <em>Project:Smith-ISTART</em>,"0, No | 1, Yes",,,,,,,y,,,,,
fmri_tubricid,fmri_checklist,,text,Accession No. & TUBRIC Subject ID,,get from TUBRIC Scan Log,,,,,,y,,,,,
fmri_scan_tech,fmri_checklist,,text,Scan Technicians,,listed on TUBRIC log,,,,,,y,,,,,
fmri_position,fmri_checklist,,yesno,Patient position: HeadFirst- Supine,,,,,,,,,,,,,
fmri_operator,fmri_checklist,,text,Operator,,leads name,,,,,,y,,,,,
fmri_program,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><p>Choose Program</p> <p><span style=""font-weight: normal;"">Labs -- Smith Lab -- Smith iStart </span></p> <p><span style=""font-weight: normal;""><span style=""font-weight: 400;"">Task order: [appointment_2_arm_1][fmri_taskorder]</span></span></p></div>",,,,,,,,,,,,,
fmri_pull,fmri_checklist,Get Github Ready for Scan,radio,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""background-color: #ffff00;""><span style=""font-weight: 400; background-color: #ffffff;"">After Testing Room person pushes,</span></span></p> <p style=""text-align: center;""><span style=""background-color: #ffff00;"">PULL GIT HUB</span></p> <p style=""text-align: center;""> </p></div>","0, No | 1, Yes",,,,,,,y,,,,,
fmri_pic,fmri_checklist,,radio,Download Friend picture on behavioral computer,"0, No | 1, Yes",<p>Calendar- select ID starting with '2' - Friend  Files- select friend.png. <p> move picture to GitHub-istart-Shared_Reward-Images,,,,,[fmri_motion] >= '0',y,,,,,
fmri_name_f,fmri_checklist,,text,Friend's Name,,,,,,y,,,,,,,
fmri_gender_f,fmri_checklist,,radio,Friend's Gender,"1, Female | 2, Male",,,,,y,,,,,,,
git_addpic,fmri_checklist,,radio,Move friend picture to Github folder,"0, No | 1, Yes",<p> GitHub-istart-Shared_Reward-Images,,,,,,,,,,,
git_stranger,fmri_checklist,,radio,"Rename [appointment_2_arm_1][fmri_gender_f] Stranger picture

","0, No | 1, Yes",<p>eg. stranger_F.png becomes stranger.png <p> GitHub-istart-Shared_Reward-Images,,,,,,,,,,,
fmri_handedness,fmri_checklist,Bring in Participant,descriptive,Participant is [screening_process_arm_1][screen_handedness_final],,,,,,,,,,,,,
fmri_rx,fmri_checklist,,descriptive,Participant's Rx is [appointment_1_arm_1][ms_rx],,,,,,,,,,,,,
fmri_start_time,fmri_checklist,READY TO START SCAN (90 minutes),text,Actual Start time,,Military Time eg. 1pm -> 13:00,time,,,,,y,,,,,
fmri_timediff,fmri_checklist,,calc,Minutes running late,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_start_time],""m"",""hm"",true)",,,,,,,y,,,,,
fmri_buttonbox_yn,fmri_checklist,,radio,Button Box Test Completed?,"0, No | 1, Yes",Celeritas Monitor to change coding,,,,,,y,,,,,
fmri_buttonbox_quality,fmri_checklist,,radio,Buttonbox Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[fmri_buttonbox_yn] = '1',,,,,,
fmri_anatomical_yn,fmri_checklist,,radio,"Anatomical Scan Completed?

Do MID practice at the same time","0, No | 1, Yes",,,,,,"[fmri_buttonbox_yn] <> """"  and [fmri_scan_tech]<> """" and [fmri_tubricid] <> """" and [fmri_addinfo] <> """" and [fmri_weight] <> """" and [fmri_height_in] <> """" and [fmri_height_ft] <> """" and [fmri_sex] <> """" and [fmri_dob] <> """" and [fmri_patientid] <> """" and [fmri_start_time] <> """" and [fmri_scan_date] <> """"",y,,,,,
fmri_anatomical_quality,fmri_checklist,,radio,Anatomical Scan Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[appointment_2_arm_1][fmri_anatomical_yn] = '1',y,,,,,
fmri_midpractice_yn,fmri_checklist,,radio,"<div class=""rich-text-field-label""><p>Monetary Incentive PRACTICE Complete?</p> <p><span style=""font-weight: normal;"">Orange: you can WIN money- if quick enough add </span></p> <p><span style=""font-weight: normal;"">Blue: you can LOSE money- if quick enough can avoid loss</span></p> <p><span style=""font-weight: normal;"">Triangle: a lot</span></p> <p><span style=""font-weight: normal;"">Square: a little</span></p> <p><span style=""font-weight: normal;"">Donut: neither win or loss but still press when white square on screen</span></p> <p> </p> <p> </p></div>","0, No | 1, Yes",mid_<em>practice</em> Matlab <p>ID: [screening_process_arm_1][participant_id] <p>scan: 0<p>run:1,,,,,"[fmri_buttonbox_yn] <> """"  and [fmri_scan_tech]<> """" and [fmri_tubricid] <> """" and [fmri_addinfo] <> """" and [fmri_weight] <> """" and [fmri_height_in] <> """" and [fmri_height_ft] <> """" and [fmri_sex] <> """" and [fmri_dob] <> """" and [fmri_patientid] <> """" and [fmri_start_time] <> """" and [fmri_scan_date] <> """"",y,,,,,
fmri_midprac_time,fmri_checklist,,text,"<div class=""rich-text-field-label""><p>Time Anatomical/MID Practice ENDS</p></div>",,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_midpractice_yn] = '1',y,,,,,
fmri_mid_yn,fmri_checklist,"<div class=""rich-text-field-label""><p>MID</p></div>",radio,"<div class=""rich-text-field-label""><p>Monetary Incentive Run 0 Complete?</p> <p><span style=""font-weight: normal;"">Orange: you can WIN money- if quick enough add </span></p> <p><span style=""font-weight: normal;"">Blue: you can LOSE money- if quick enough can avoid loss</span></p> <p><span style=""font-weight: normal;"">Triangle: a lot</span></p> <p><span style=""font-weight: normal;"">Square: a little</span></p> <p><span style=""font-weight: normal;"">Donut: neither win or loss but still press when white square on screen</span></p></div>","0, No | 1, Yes",<p>ID: [screening_process_arm_1][participant_id] <p>scan: 1<p>run:1,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmri_mid0_time,fmri_checklist,,text,"<div class=""rich-text-field-label""><p>Time MID Run 0 ENDS</p></div>",,Military Time eg. 1pm -> 13:00,time,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmri_mid0_minute,fmri_checklist,,calc,MINUTE MID 0 FINISHED,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_mid0_time],""m"",""hm"",true)",,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',,,,,,
fmri_mid_skiprun1,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><h1 style=""text-align: center;""><span style=""background-color: #ff0000;"">Skip MID Run 1</span></h1></div>",,,,,,,([appointment_2_arm_1][fmri_taskorder]='1' and [appointment_2_arm_1][fmri_mid0_time]>=19)  or ([appointment_2_arm_1][fmri_taskorder]='0' and [appointment_2_arm_1][fmri_mid0_time]>=19) or ([appointment_2_arm_1][fmri_taskorder]='2' and [appointment_2_arm_1][fmri_mid0_time]>=69) or ([appointment_2_arm_1][fmri_taskorder]='3' and [appointment_2_arm_1][fmri_mid0_time]>=69),,,,,,
fmri_mid1_yn,fmri_checklist,,radio,"<div class=""rich-text-field-label""><p>Monetary Incentive Run 1 Complete?</p> <p><span style=""font-weight: normal;"">Orange: you can WIN money- if quick enough add </span></p> <p><span style=""font-weight: normal;"">Blue: you can LOSE money- if quick enough can avoid loss</span></p> <p><span style=""font-weight: normal;"">Triangle: a lot</span></p> <p><span style=""font-weight: normal;"">Square: a little</span></p> <p><span style=""font-weight: normal;"">Donut: neither win or loss but still press when white square on screen</span></p></div>","0, No | 1, Yes",<p>ID: [screening_process_arm_1][participant_id] <p>scan: 1<p>run:2,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmri_mid1_time,fmri_checklist,,text,"<div class=""rich-text-field-label""><p>Time MID Run 1 ENDS</p></div>",,Military Time eg. 1pm -> 13:00,time,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmri_mid1_minute,fmri_checklist,,calc,MINUTE MID 1 FINISHED,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_mid1_time],""m"",""hm"",true)",,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',,,,,,
fmir_mid_missed,fmri_checklist,,text,Monetary Incentive Trials MISSED,,"number of trials missed in each run <p> example run0:none, run1:2",,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmri_mid_quality,fmri_checklist,,radio,Monetary Incentive Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmir_mid_notes,fmri_checklist,,notes,Monetary Incentive Notes,,,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' or [fmri_taskorder] = '1' or [fmri_taskorder] = '2' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_sharedreward_yn] = '1',y,,,,,
fmri_navigate_neuromelanin,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><h2>after MID scroll down to<span style=""background-color: #cc99ff;""> Neuromelanin!</span></h2></div>",,,,,,,"([fmri_taskorder] = '2' and [fmri_mid_yn] <>"""") or ([fmri_taskorder] = '3' and [fmri_mid_yn] <>"""")",,,,,,
fmri_psychopywarning,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""background-color: #ffff00;"">WARNING!!!</span></p> <p style=""text-align: center;""><span style=""background-color: #ff0000;"">DO NOT TOUCH COMPUTER<br /></span><span style=""background-color: #ff0000;"">DURING PSYCHOPY TASKS</span></p> <p style=""text-align: center;""><span style=""background-color: #ff0000;"">(dont use the mouse or type)</span></p> <p style=""text-align: center;""> </p> <p style=""text-align: center;""><span style=""font-weight: normal;"">FORCE QUIT: 'z' during a decision phase</span></p></div>",,,,,,,[fmri_mid_yn] = '1' or [fmri_mid_yn] = '0',,,,,,
fmri_sharedreward_yn,fmri_checklist,SHARED REWARD,radio,Shared Reward Run 1 Complete?,"0, No | 1, Yes",<p>ID:  [screening_process_arm_1][participant_id] <p> Friend: [appointment_2_arm_1][fmri_name_f] <p> Partner:  [appointment_2_arm_1][fmri_gender_f] <p>Female=Jill Male=Jack ,,,,,[fmri_taskorder] = '0' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '1' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '2' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '3' and [fmri_socialdoorsb_yn] = '1',y,,,,,
fmri_sharedreward0_time,fmri_checklist,,text,Time Shared Reward Run 1 ENDS,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_sharedreward_yn] = '1',y,,,,,
fmri_sharedreward0_minute,fmri_checklist,,calc,MINUTE Shared Reward 1 FINISHED,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_sharedreward0_time],""m"",""hm"",true)",,,,,,[appointment_2_arm_1][fmri_sharedreward_yn] = '1',,,,,,
fmri_sharedreward_skiprun1,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><h1 style=""text-align: center;""><span style=""background-color: #ff0000;"">Skip Shared Reward Run 2</span></h1></div>",,Σ,,,,,"([appointment_2_arm_1][fmri_taskorder]=""0"" and [appointment_2_arm_1][fmri_sharedreward0_minute] >=36) or ([appointment_2_arm_1][fmri_taskorder]=""1"" and [appointment_2_arm_1][fmri_sharedreward0_minute] >=36) or ([appointment_2_arm_1][fmri_taskorder]=""2"" and [appointment_2_arm_1][fmri_sharedreward0_minute] >=52) or ([appointment_2_arm_1][fmri_taskorder]=""3"" and [appointment_2_arm_1][fmri_sharedreward0_minute] >=52)",,,,,,
fmri_sharedreward1_yn,fmri_checklist,,radio,Shared Reward Run 2 Complete?,"0, No | 1, Yes",<p>ID:  [screening_process_arm_1][participant_id] <p> Friend: [appointment_2_arm_1][fmri_name_f] <p> Partner:  [appointment_2_arm_1][fmri_gender_f]<p> Female=Jill Male=Jack ,,,,,"[appointment_2_arm_1][fmri_sharedreward_yn]<>""""",y,,,,,
fmri_sharedreward1_time,fmri_checklist,,text,Time Shared Reward Run 2 ENDS,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_sharedreward1_yn] = '1',y,,,,,
fmri_sharedreward1_minute,fmri_checklist,,calc,MINUTE Shared Reward 2 FINISHED,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_sharedreward1_time],""m"",""hm"",true)",,,,,,[appointment_2_arm_1][fmri_sharedreward_yn] = '1',,,,,,
fmri_sharedreward_missed,fmri_checklist,,text,Shared Reward MISSED,,"number of trials missed in each run <p> example run0:15, run1:2",,,,y,[fmri_taskorder] = '0' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '1' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '2' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '3' and [fmri_socialdoorsb_yn] = '1',,,,,,
fmri_sharedreward_quality,fmri_checklist,,radio,Shared Reward Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[fmri_taskorder] = '0' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '1' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '2' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '3' and [fmri_socialdoorsb_yn] = '1',y,,,,,
fmri_sharedreward_notes,fmri_checklist,,notes,Shared Reward Task Notes,,,,,,,[fmri_taskorder] = '0' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '1' and [fmri_mid_yn] = '1' or [fmri_taskorder] = '2' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '3' and [fmri_socialdoorsb_yn] = '1' ,,,,,,
fmri_socialdoorsa_yn,fmri_checklist,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">SOCIAL DOORS</span> FACES</p></div>",radio,Social Doors FACES A Complete? 1 run,"0, No | 1, Yes",<p>ID:  [screening_process_arm_1][participant_id] <p> Order: Faces <p> Version: A,,,,,[fmri_taskorder] = '0' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '2' and [fmri_doorsa_yn] = '1' ,y,,,,,
fmri_socialdoorsa_time,fmri_checklist,,text,Time  Social Doors A FACES ends,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_doorsa_yn] = '1',y,,,,,
fmir_socialdoorsa_missed,fmri_checklist,,text,Social Doors FACES A MISSED,,number of trials missed,,,,,[fmri_taskorder] = '0' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '2' and [fmri_doorsa_yn] = '1',y,,,,,
fmri_socialdoorsa_quality,fmri_checklist,,radio,Social Doors FACES A Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[fmri_taskorder] = '0' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '2' and [fmri_doorsa_yn] = '1',y,,,,,
fmir_socialdoorsa_notes,fmri_checklist,,notes,Social Doors FACES A Notes,,,,,,,[fmri_taskorder] = '0' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '2' and [fmri_doorsa_yn] = '1' ,,,,,,
fmri_socialdoorsb_yn,fmri_checklist,,radio,Social Doors FACES B Complete? 1 run,"0, No | 1, Yes",<p>ID:  [screening_process_arm_1][participant_id] <p> Order: Faces <p> Version: B,,,,,[fmri_taskorder] = '1' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_doorsb_yn] = '1',y,,,,,
fmri_socialdoorsb_time,fmri_checklist,,text,Time Social Doors FACES B ends,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_socialdoorsb_yn] = '1',y,,,,,
fmir_socialdoorsb_notes_2,fmri_checklist,,text,Social Doors FACES B MISSED,,,,,,,[fmri_taskorder] = '1' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_doorsb_yn] = '1',y,,,,,
fmri_socialdoorsb_quality,fmri_checklist,,radio,Social Doors FACES B Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[fmri_taskorder] = '1' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_doorsb_yn] = '1' ,y,,,,,
fmir_socialdoorsb_notes,fmri_checklist,,notes,Social Doors FACES B Notes,,,,,,,[fmri_taskorder] = '1' and [fmri_sharedreward_yn] = '1' or [fmri_taskorder] = '3' and [fmri_doorsb_yn] = '1' ,,,,,,
fmri_doorsa_yn,fmri_checklist,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">SOCIAL DOORS</span> IMAGES</p></div>",radio,Social Doors IMAGES A Complete? 1 run,"0, No | 1, Yes",<p>ID:  [screening_process_arm_1][participant_id] <p> Order: Images <p> Version: A,,,,,[fmri_taskorder] = '0' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '2' and [fmri_ugdg_yn] = '1' ,y,,,,,
fmri_doorsa_time,fmri_checklist,,text,Time Social Doors IMAGES A ends,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_taskorder] = '0' and [appointment_2_arm_1][fmri_socialdoorsa_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '2' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',y,,,,,
fmri_doorsa_missed,fmri_checklist,,text,Social Doors IMAGES A MISSED,,number of trials missed,,,,,[fmri_taskorder] = '0' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '2' and [fmri_ugdg_yn] = '1' ,y,,,,,
fmri_doorsa_quality,fmri_checklist,,radio,Social Doors IMAGES A Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[fmri_taskorder] = '0' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '2' and [fmri_ugdg_yn] = '1' ,y,,,,,
fmri_doorsa_notes,fmri_checklist,,notes,Social Doors IMAGES A Notes,,,,,,,[fmri_taskorder] = '0' and [fmri_socialdoorsa_yn] = '1' or [fmri_taskorder] = '2' and [fmri_ugdg_yn] = '1' ,,,,,,
fmri_doorsb_yn,fmri_checklist,,radio,Social Doors IMAGES B Complete? 1 run,"0, No | 1, Yes",<p>ID:  [screening_process_arm_1][participant_id] <p> Order: Images <p> Version: B,,,,,[appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_socialdoorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',y,,,,,
fmri_doorsb_time,fmri_checklist,,text,Time Social Doors IMAGES B ends,,Military Time eg. 1pm -> 13:00,number,0,90,,[appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_socialdoorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',y,,,,, @HIDDEN
fmri_doorsb_time_corrected,fmri_checklist,,text,Time Social Doors IMAGES B ends,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_socialdoorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',y,,,,,
fmir_doorsb_missed,fmri_checklist,,text,Social Doors IMAGES B MISSED,,,,,,,[appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_socialdoorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',y,,,,,
fmri_doorsb_quality,fmri_checklist,,radio,Social Doors IMAGES B Motion/Quality:,"0, Poor/ Invalid | 1, Fair/Questionable | 2, Good/ Valid",,,,,,[appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_socialdoorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',,,,,,
fmir_doorsb_notes,fmri_checklist,,notes,Social Doors IMAGES B Notes,,,,,,,[appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_socialdoorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3' and [appointment_2_arm_1][fmri_ugdg_yn] = '1',,,,,,
fmri_ugdg_yn,fmri_checklist,"<div class=""rich-text-field-label""><p>UGDG</p> <p> </p> <p><span style=""font-weight: normal;"">Circle: Accept/Reject a proposal from your partner</span></p> <p><span style=""font-weight: 400;"">Square: You propose a split & partner can accept/reject</span></p> <p><span style=""font-weight: 400;"">Triangle: you propose a split & partner CANT respond</span></p></div>",radio,UGDG Run 0 Complete?,"0, No | 1, Yes",<p>ID: [screening_process_arm_1][participant_id]<p>Gender:[screening_process_arm_1][screen_gender]<p>Ethnicity:[screening_process_arm_1][screen_ethnicity_games]<p>Age:[appointment_2_arm_1][fmri_age],,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' and [fmri_doorsa_yn] = '1' or [fmri_taskorder] = '2'  or [fmri_taskorder] = '1' and [fmri_doorsb_yn] = '1' or [fmri_taskorder] = '3',y,,,,,
fmri_ugdg0_time,fmri_checklist,,text,Time UGDG Run 0 ends,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_buttonbox_yn] = '1' and [appointment_2_arm_1][fmri_taskorder] = '0' and [appointment_2_arm_1][fmri_doorsa_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '2'  or [appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_doorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3',y,,,,,
fmri_ugdg0_minute,fmri_checklist,,calc,MINUTE UGDG Run 0 FINISHED,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_ugdg0_time],""m"",""hm"",true)",,,,,,[fmri_buttonbox_yn] = '1' and [fmri_taskorder] = '0' and [fmri_doorsa_yn] = '1' or [fmri_taskorder] = '2'  or [fmri_taskorder] = '1' and [fmri_doorsb_yn] = '1' or [fmri_taskorder] = '3',,,,,,
fmri_ugdg_skiprun1,fmri_checklist,,descriptive,"<div class=""rich-text-field-label""><h1 style=""text-align: center;""><span style=""background-color: #ff0000;"">Skip UGDG Run 1</span></h1></div>",,,,,,,"[appointment_2_arm_1][fmri_ugdg_yn]=""1"" and [appointment_2_arm_1][fmri_ugdg0_time]>=70",,,,,,
fmri_ugdg1_yn,fmri_checklist,,radio,UGDG Run 1 Complete?,"0, No | 1, Yes",<p>ID: [screening_process_arm_1][participant_id]<p>Gender:[screening_process_arm_1][screen_gender]<p>Ethnicity:[screening_process_arm_1][screen_ethnicity_games]<p>Age:[appointment_2_arm_1][fmri_age],,,,,[appointment_2_arm_1][fmri_buttonbox_yn] = '1' and [appointment_2_arm_1][fmri_taskorder] = '0' and [appointment_2_arm_1][fmri_doorsa_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '2'  or [appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_doorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3',,,,,,
fmri_ugdg1_time,fmri_checklist,,text,Time UGDG Run 1 ends,,Military Time eg. 1pm -> 13:00,time,,,,[appointment_2_arm_1][fmri_buttonbox_yn] = '1' and [appointment_2_arm_1][fmri_taskorder] = '0' and [appointment_2_arm_1][fmri_doorsa_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '2'  or [appointment_2_arm_1][fmri_taskorder] = '1' and [appointment_2_arm_1][fmri_doorsb_yn] = '1' or [appointment_2_arm_1][fmri_taskorder] = '3',y,,,,,
fmri_ugdg1_minute,fmri_checklist,,calc,MINUTE UGDG Run1 FINISHED,"datediff([appointment_2_arm_1][fmri_scheduled],[appointment_2_arm_1][fmri_ugdg1_time],""m"",""hm"",true)",,,,,,[appointment_2_arm_1][fmri_ugdg_yn] = '1',,,,,,
